conversationId,channel,conversationStartedAt,messageId,role,content,messageCreatedAt
00cf3c70-b042-49ed-89e0-f64089d4bb8f,web,2026-04-29 10:33:46,5c3e827f-6898-42f6-b623-d4cefe669d43,user,How do I open up?,2026-04-29 10:33:46
00cf3c70-b042-49ed-89e0-f64089d4bb8f,web,2026-04-29 10:33:46,c664ac73-e5ec-4f51-86ea-97e84404be25,assistant,I couldn't produce an answer — please retry or rephrase.,2026-04-29 10:34:10
00cf3c70-b042-49ed-89e0-f64089d4bb8f,web,2026-04-29 10:33:46,552c7e38-fdb0-4eaa-8952-fb86dd8b490b,user,"No probs, can I upload documents into this chat?",2026-04-29 10:34:24
00cf3c70-b042-49ed-89e0-f64089d4bb8f,web,2026-04-29 10:33:46,cb8354b0-a9f5-4cb0-8ece-3b6386602928,assistant,I couldn't produce an answer — please retry or rephrase.,2026-04-29 10:34:36
641fc84f-b049-4eca-91f4-89f3a6e63318,web,2026-04-29 11:15:15,7f70ffa0-bcb9-4045-81ac-133742663d97,user,"I’ve got some new offers / incentives on , so thought I best fire across:

Damm lemon - FOC keg on install - £75 for a 30L 

*Swinkels family* Fruitage by rodenbach - FOC keg on install - £87 for a 30L 

Thatchers fusion - 1 line / keg in the cellar , 3 flavours on draught - cloudy lemon, blood orange , apple & blackcurrant. Can be installed on a stand alone font but also onto a T bar now !!! 

£105 for a 50L keg with a FOC keg on install 

Happy to give more info if interested",2026-04-29 11:15:15
641fc84f-b049-4eca-91f4-89f3a6e63318,web,2026-04-29 11:15:15,e50142fe-cd53-4112-97ac-9aa2bab7982f,assistant,I couldn't produce an answer — please retry or rephrase.,2026-04-29 11:15:37
641fc84f-b049-4eca-91f4-89f3a6e63318,web,2026-04-29 11:15:15,e4b19342-d65d-4f8e-9aa2-345926fe233b,user,How do I close the bar down?,2026-04-29 11:26:53
641fc84f-b049-4eca-91f4-89f3a6e63318,web,2026-04-29 11:15:15,7fe7e06a-28ea-4dc1-a366-5e95a315d903,user,"James has gone on paternity for two weeks, so Sam Broomfield is standing in as our GM whilst he is off",2026-04-29 11:33:11
641fc84f-b049-4eca-91f4-89f3a6e63318,web,2026-04-29 11:15:15,92d76ff2-1ffa-4c2c-8e87-4ff6d4d6d15e,assistant,I couldn't produce an answer — please retry or rephrase.,2026-04-29 11:33:40
641fc84f-b049-4eca-91f4-89f3a6e63318,web,2026-04-29 11:15:15,9b450eae-9e7a-4f21-84f5-7149b79abd23,user,Please can you expand on point 2?,2026-04-29 11:37:46
